Time,IsBeat?,BPM,EDR,Time after start,Relative BPM,Relative EDR
368418,beat,315,186,45843,0.45412844,0.164233577
368860,beat,315,194,46285,0.45412844,0.193430657
368945,beat,315,185,46370,0.45412844,0.160583942
369077,beat,315,170,46502,0.45412844,0.105839416
369178,beat,315,169,46603,0.45412844,0.102189781
369378,beat,315,164,46803,0.45412844,0.083941606
369594,beat,315,162,47019,0.45412844,0.076642336
369819,beat,315,165,47244,0.45412844,0.087591241
370137,beat,290,168,47562,0.339449541,0.098540146
370330,beat,290,161,47755,0.339449541,0.072992701
370542,beat,290,175,47967,0.339449541,0.124087591
370827,beat,290,161,48252,0.339449541,0.072992701
371274,beat,290,161,48699,0.339449541,0.072992701
371484,beat,290,165,48909,0.339449541,0.087591241
371782,beat,290,159,49207,0.339449541,0.065693431
372025,beat,290,160,49450,0.339449541,0.069343066
372118,beat,290,163,49543,0.339449541,0.080291971
372215,beat,290,164,49640,0.339449541,0.083941606
372419,beat,290,165,49844,0.339449541,0.087591241
372545,beat,290,165,49970,0.339449541,0.087591241
372726,beat,290,165,50151,0.339449541,0.087591241
372959,beat,290,167,50384,0.339449541,0.094890511
373169,beat,290,167,50594,0.339449541,0.094890511
373366,beat,290,166,50791,0.339449541,0.091240876
373675,beat,290,169,51100,0.339449541,0.102189781
373882,beat,290,170,51307,0.339449541,0.105839416
374017,beat,290,170,51442,0.339449541,0.105839416
374112,beat,290,169,51537,0.339449541,0.102189781
374299,beat,290,170,51724,0.339449541,0.105839416
374426,beat,292,169,51851,0.348623853,0.102189781
374619,beat,292,170,52044,0.348623853,0.105839416
374834,beat,292,169,52259,0.348623853,0.102189781
374957,beat,292,169,52382,0.348623853,0.102189781
375084,beat,292,169,52509,0.348623853,0.102189781
375088,beat,292,170,52513,0.348623853,0.105839416
375123,beat,292,168,52548,0.348623853,0.098540146
375364,beat,292,172,52789,0.348623853,0.113138686
375472,beat,292,171,52897,0.348623853,0.109489051
375561,beat,292,172,52986,0.348623853,0.113138686
375781,beat,292,171,53206,0.348623853,0.109489051
375898,beat,292,173,53323,0.348623853,0.116788321
375999,beat,292,181,53424,0.348623853,0.145985401
376190,beat,292,184,53615,0.348623853,0.156934307
376313,beat,292,177,53738,0.348623853,0.131386861
376503,beat,292,284,53928,0.348623853,0.52189781
376730,beat,292,162,54155,0.348623853,0.076642336
376936,beat,292,144,54361,0.348623853,0.010948905
377136,beat,292,150,54561,0.348623853,0.032846715
377425,beat,292,150,54850,0.348623853,0.032846715
377667,beat,292,152,55092,0.348623853,0.040145985
377870,beat,369,153,55295,0.701834862,0.04379562
378317,beat,369,155,55742,0.701834862,0.051094891
378812,beat,369,155,56237,0.701834862,0.051094891
379246,beat,369,149,56671,0.701834862,0.02919708
379438,beat,369,146,56863,0.701834862,0.018248175
379739,beat,369,142,57164,0.701834862,0.003649635
379971,beat,369,143,57396,0.701834862,0.00729927
380178,beat,369,143,57603,0.701834862,0.00729927
380388,beat,369,144,57813,0.701834862,0.010948905
380679,beat,369,141,58104,0.701834862,0
380915,beat,369,149,58340,0.701834862,0.02919708
381114,beat,369,150,58539,0.701834862,0.032846715
381321,beat,369,151,58746,0.701834862,0.03649635
381611,beat,369,151,59036,0.701834862,0.03649635
381846,beat,369,155,59271,0.701834862,0.051094891
382048,beat,369,153,59473,0.701834862,0.04379562
382237,beat,369,154,59662,0.701834862,0.047445255
382552,beat,369,158,59977,0.701834862,0.062043796
382777,beat,369,157,60202,0.701834862,0.058394161
383021,beat,369,157,60446,0.701834862,0.058394161
383029,beat,254,158,60454,0.174311927,0.062043796
383037,beat,254,157,60462,0.174311927,0.058394161
383049,beat,254,157,60474,0.174311927,0.058394161
383304,beat,254,153,60729,0.174311927,0.04379562
383502,beat,254,153,60927,0.174311927,0.04379562
383712,beat,254,152,61137,0.174311927,0.040145985
383819,beat,254,152,61244,0.174311927,0.040145985
384000,beat,254,153,61425,0.174311927,0.04379562
384226,beat,254,153,61651,0.174311927,0.04379562
384344,beat,254,153,61769,0.174311927,0.04379562
384444,beat,254,153,61869,0.174311927,0.04379562
384760,beat,254,153,62185,0.174311927,0.04379562
384954,beat,254,154,62379,0.174311927,0.047445255
385162,beat,254,154,62587,0.174311927,0.047445255
385278,beat,254,154,62703,0.174311927,0.047445255
385459,beat,254,154,62884,0.174311927,0.047445255
385684,beat,254,155,63109,0.174311927,0.051094891
